"Subject","Catalog","Section","Class Stat","Cap Enrl","Tot Enrl","Facil ID","Meeting Start","Meeting End","Mon","Tues","Wed","Thurs","Fri","Instructor Name","Mode","Campus"
"ICA"," 001","NGB","A","30","21","C4032","08:00:00","10:40:00","N","N","Y","N","N","Abdellatif,Mohamed","P","NH"
"PSY"," 100","NBA","A","35","35","B1097","10:45:00","13:25:00","N","N","N","N","Y","Abdollahzadeh,Nazanin","P","NH"
"PSY"," 100","NBB","A","35","35","ONLINE","13:30:00","16:10:00","N","N","N","Y","N","Abdollahzadeh,Nazanin","OB","NH"
"PSY"," 100","NBC","A","35","35","B1070","08:00:00","10:40:00","N","N","N","Y","N","Abdollahzadeh,Nazanin","P","NH"
"ECN"," 501","NRF","A","45","45","A3065","10:45:00","13:25:00","N","N","N","Y","N","Abergel,Sigal","FL","NH"
"ECN"," 502","NRI","A","35","32","ONLINE","16:15:00","18:55:00","N","N","Y","N","N","Abergel,Sigal","OB","NH"
"SOC"," 135","NRE","A","40","37","A3050","10:45:00","13:25:00","N","N","N","N","Y","Abergel,Sigal","FL","NH"
"SOC"," 135","NRG","A","40","20","A3069","08:00:00","10:40:00","N","N","N","Y","N","Abergel,Sigal","P","NH"
"PRG"," 355","NAAL","A","24","23","C2032","11:40:00","13:25:00","N","Y","N","N","N","Abesdris,Danny","P","NH"
"PRG"," 355","NAB","A","48","44","K2100D","15:20:00","17:05:00","Y","N","N","N","N","Abesdris,Danny","P","NH"
"PRG"," 355","NBBL","A","24","21","A4092","13:30:00","15:15:00","N","N","N","N","Y","Abesdris,Danny","P","NH"
"PRG"," 550","NAAL","A","24","24","A4080","09:50:00","11:35:00","N","Y","N","N","N","Abesdris,Danny","P","NH"
"PRG"," 550","NAB","A","48","48","K2100D","11:40:00","13:25:00","N","N","N","Y","N","Abesdris,Danny","P","NH"
"PRG"," 550","NBBL","A","24","24","A4092","11:40:00","13:25:00","N","N","N","N","Y","Abesdris,Danny","P","NH"
"PRG"," 550","NCD","A","48","48","K2100B","09:50:00","11:35:00","N","N","N","N","Y","Abesdris,Danny","P","NH"
"SCM"," 920","NSS","A","40","28","ONLINE","11:40:00","13:25:00","N","Y","N","N","N","Abouzahra,Mohamed","OB","NH"
"SCM"," 920","NTT","A","42","24","ONLINE","08:55:00","10:40:00","N","Y","N","N","N","Abouzahra,Mohamed","OB","NH"
"SMS"," 310","NWW","A","38","16","ONLINE","09:50:00","11:35:00","Y","N","N","N","N","Abouzahra,Mohamed","OB","NH"
"ASM"," 211","NAA","A","18","12","D1012","16:15:00","18:55:00","N","N","Y","N","N","Adamsz,Robert","FL","NH"
"PME"," 201","NAA","A","40","17","A4085","16:15:00","18:55:00","N","Y","N","N","N","Adamsz,Robert","FL","NH"
"ASM"," 216","N1X","A","5","1","A3519","11:40:00","13:25:00","N","N","Y","N","N","Adesanmi,Adenike","FL","NH"
"ASM"," 216","N1X","A","5","1","A4519","12:35:00","14:20:00","N","N","N","N","Y","Adesanmi,Adenike","FL","NH"
"ASM"," 216","NAA","A","18","12","A3519","11:40:00","13:25:00","N","N","Y","N","N","Adesanmi,Adenike","FL","NH"
"ASM"," 216","NAA","A","18","12","A4519","12:35:00","14:20:00","N","N","N","N","Y","Adesanmi,Adenike","FL","NH"
"BAN"," 240","NAA","A","40","34","B1027","09:50:00","11:35:00","N","N","Y","N","N","Adesanmi,Adenike","H","NH"
"BAN"," 240","NBB","A","40","34","B3094","09:50:00","11:35:00","N","N","N","N","Y","Adesanmi,Adenike","H","NH"
"CLO"," 835","NAA","A","36","22","A4516","19:00:00","20:45:00","Y","N","N","N","N","Adunuthala,Laxmikantha Rao","H","NH"
"CLO"," 835","NAA","A","36","22","ONLINE","19:55:00","21:40:00","N","N","Y","N","N","Adunuthala,Laxmikantha Rao","H","NH"
"MAN"," 200","NCC","A","35","25","ONLINE","15:20:00","17:05:00","Y","N","N","N","N","Afzal,Hamza","OB","NH"
"MAN"," 400","NEE","A","35","34","C3034","12:35:00","15:15:00","N","N","Y","N","N","Afzal,Hamza","P","NH"
"NPM"," 803","NAA","A","21","11","D1010","14:25:00","17:05:00","N","N","N","N","Y","Afzal,Hamza","FL","NH"
"BDA"," 100","NAA","A","25","11","C3032","11:40:00","14:20:00","Y","N","N","N","N","Aghababaei Tafreshi,Omid","P","NH"
"BAN"," 220","NCC","A","40","39","A3067","15:20:00","17:05:00","N","N","Y","N","N","Ahlawat,Atul","H","NH"
"DSM"," 760","NAA","A","36","21","A3518","19:00:00","20:45:00","N","N","N","Y","N","Ahmed,Sami","P","NH"
"DSM"," 760","NAA","A","36","21","A1509","18:05:00","19:50:00","N","Y","N","N","N","Ahmed,Sami","P","NH"
"ECE"," 209","NGG","A","40","40","A2518","10:45:00","13:25:00","N","Y","N","N","N","Ajodhia,Amanda Devi","P","NH"
"APS"," 145","NGG","A","35","25","B1079","14:25:00","17:05:00","N","Y","N","N","N","Akbari,Hesam","P","NH"
"SYD"," 366","NBB","A","38","38","K2001","14:25:00","16:10:00","N","N","Y","N","N","Akbari,Hesam","FL","NH"
"SYD"," 366","NBBL","A","38","38","C2032","09:50:00","11:35:00","N","N","N","N","Y","Akbari,Hesam","P","NH"
"CLO"," 745","NCE","A","25","24","C2036","17:10:00","18:55:00","N","N","N","Y","N","Akbari,Mehdi","P","NH"
"CLO"," 745","NCE","A","25","24","A1509","17:10:00","18:55:00","Y","N","N","N","N","Akbari,Mehdi","P","NH"
"SEC"," 715","NCE","A","25","24","A3516","19:00:00","20:45:00","N","N","N","Y","N","Akbari,Mehdi","H","NH"
"SEC"," 715","NCE","A","25","24","ONLINE","11:40:00","13:25:00","N","Y","N","N","N","Akbari,Mehdi","H","NH"
"PMC"," 115","NCE","A","31","19","A3512","19:55:00","21:40:00","Y","N","Y","N","N","Akkus,Tayfun","P","NH"
"PMC"," 200","NCE","A","31","33","D3018","17:10:00","19:50:00","Y","N","N","N","N","Akkus,Tayfun","P","NH"
"PMC"," 444","NAA","A","40","40","A4501","17:10:00","18:55:00","N","Y","N","N","N","Akkus,Tayfun","FL","NH"
"PMC"," 444","NAAL","A","40","40","A3518","09:50:00","11:35:00","N","N","N","Y","N","Akkus,Tayfun","P","NH"
"CSN"," 205","NAA","A","36","25","ONLINE","09:50:00","11:35:00","Y","N","N","N","N","Al Quraishi,Rami","H","NH"
"CSN"," 205","NAA","A","36","25","K1001","08:00:00","11:35:00","N","N","N","Y","N","Al Quraishi,Rami","H","NH"
"CSN"," 205","NFF","A","36","36","ONLINE","10:45:00","12:30:00","N","N","Y","N","N","Al Quraishi,Rami","H","NH"
"CSN"," 205","NFF","A","36","36","K1001","08:00:00","11:35:00","N","N","N","N","Y","Al Quraishi,Rami","H","NH"
"CSN"," 405","NAA","A","36","35","ONLINE","13:30:00","15:15:00","Y","N","N","N","N","Al-Ansari,Kifah","H","NH"
"CSN"," 405","NAA","A","36","35","K1270","14:25:00","16:10:00","N","Y","N","N","N","Al-Ansari,Kifah","H","NH"
"CSN"," 405","NCC","A","36","15","ONLINE","09:50:00","11:35:00","Y","N","N","N","N","Al-Ansari,Kifah","H","NH"
"CSN"," 405","NCC","A","36","15","K1270","16:15:00","18:00:00","N","Y","N","N","N","Al-Ansari,Kifah","H","NH"
