"Subject","Catalog","Section","Class Stat","Cap Enrl","Tot Enrl","Facil ID","Meeting Start","Meeting End","Mon","Tues","Wed","Thurs","Fri","Instructor Name","Mode","Campus"
"ICA"," 001","NGC","A","33","30","C3030","08:55:00","11:35:00","N","N","Y","N","N","Abdellatif,Mohamed","P","NH"
"PSY"," 100","NBB","A","40","39","ONLINE","16:15:00","18:55:00","N","Y","N","N","N","Abdollahzadeh,Nazanin","OB","NH"
"PSY"," 100","NBC","A","35","35","B1093","16:15:00","18:55:00","N","N","N","Y","N","Abdollahzadeh,Nazanin","P","NH"
"PSY"," 100","NRA","A","40","41","ONLINE","","","N","N","N","N","N","Abdollahzadeh,Nazanin","OA","NH"
"ECN"," 501","NRC","A","40","28","A3067","10:45:00","13:25:00","N","N","N","Y","N","Abergel,Sigal","P","NH"
"ECN"," 501","NRF","A","40","40","ONLINE","13:30:00","16:10:00","N","N","N","N","Y","Abergel,Sigal","OB","NH"
"ECN"," 501","NRH","A","40","18","A3069","13:30:00","16:10:00","N","Y","N","N","N","Abergel,Sigal","P","NH"
"ECN"," 502","NRJ","A","35","32","B4021","10:45:00","13:25:00","N","N","Y","N","N","Abergel,Sigal","FL","NH"
"PRG"," 355","NAAL","A","24","17","A3512","14:25:00","16:10:00","N","N","Y","N","N","Abesdris,Danny","P","NH"
"PRG"," 355","NAB","A","48","41","K3264","11:40:00","13:25:00","Y","N","N","N","N","Abesdris,Danny","P","NH"
"PRG"," 355","NBBL","A","24","24","A4092","12:35:00","14:20:00","N","N","Y","N","N","Abesdris,Danny","P","NH"
"PRG"," 550","NAAL","A","24","24","A4515","09:50:00","11:35:00","N","N","Y","N","N","Abesdris,Danny","P","NH"
"PRG"," 550","NAB","A","48","47","K2100C","11:40:00","13:25:00","N","N","N","N","Y","Abesdris,Danny","P","NH"
"PRG"," 550","NBBL","A","24","23","A3516","13:30:00","15:15:00","Y","N","N","N","N","Abesdris,Danny","P","NH"
"PRG"," 550","NCCL","A","24","18","A4515","13:30:00","15:15:00","N","N","N","N","Y","Abesdris,Danny","P","NH"
"PRG"," 550","NCD","A","24","18","K2100C","08:00:00","09:45:00","Y","N","N","N","N","Abesdris,Danny","P","NH"
"HST"," 420","NUU","A","20","15","K3005","16:15:00","18:55:00","Y","N","N","N","N","Adam,Humza","FL","NH"
"SAF"," 621","NAA","A","35","18","B1080","12:35:00","15:15:00","Y","N","N","N","N","Adam,Humza","FL","NH"
"PME"," 201","NAA","A","20","16","A4080","16:15:00","18:55:00","N","N","N","Y","N","Adamsz,Robert","FL","NH"
"PME"," 240","NAA","A","15","14","A4503","16:15:00","18:55:00","N","N","Y","N","N","Adamsz,Robert","FL","NH"
"BAN"," 240","NAA","A","24","21","B3040","14:25:00","16:10:00","N","N","Y","N","N","Adesanmi,Adenike","H","NH"
"FNT"," 204","N1X","A","3","2","B3089","10:45:00","13:25:00","N","N","Y","N","N","Adesanmi,Adenike","FL","NH"
"FNT"," 204","NII","A","32","31","B3089","10:45:00","13:25:00","N","N","Y","N","N","Adesanmi,Adenike","FL","NH"
"CLO"," 835","N1X","A","5","1","ONLINE","19:55:00","21:40:00","N","N","Y","N","N","Adunuthala,Laxmikantha Rao","H","NH"
"CLO"," 835","N1X","A","5","1","A1509","19:00:00","20:45:00","Y","N","N","N","N","Adunuthala,Laxmikantha Rao","H","NH"
"CLO"," 835","NCE","A","34","31","A1509","19:00:00","20:45:00","Y","N","N","N","N","Adunuthala,Laxmikantha Rao","H","NH"
"CLO"," 835","NCE","A","34","31","ONLINE","19:55:00","21:40:00","N","N","Y","N","N","Adunuthala,Laxmikantha Rao","H","NH"
"ECE"," 209","NAA","A","40","38","A3069","11:40:00","14:20:00","N","N","N","Y","N","AJODHIA,AMANDA Devi","P","NH"
"ECE"," 414","NDD","A","40","39","A3069","11:40:00","14:20:00","Y","N","N","N","N","AJODHIA,AMANDA Devi","P","NH"
"CAA"," 900","N1X","A","5","1","A3512","09:50:00","13:25:00","N","N","N","N","N","Akbari,Mehdi","H","NH"
"CAA"," 900","NCE","A","30","30","A3512","09:50:00","13:25:00","N","N","N","N","N","Akbari,Mehdi","P","NH"
"CAO"," 401","NAA","A","35","23","C3032","14:25:00","16:10:00","N","N","N","Y","N","Akbari,Mehdi","P","NH"
"CAO"," 401","NAAL","A","35","23","K1005","11:40:00","13:25:00","N","Y","N","N","N","Akbari,Mehdi","P","NH"
"CLO"," 745","N1X","A","5","1","C4034","17:10:00","18:55:00","Y","N","N","Y","N","Akbari,Mehdi","P","NH"
"CLO"," 745","NCE","A","15","15","C4034","17:10:00","18:55:00","Y","N","N","Y","N","Akbari,Mehdi","P","NH"
"FNC"," 750","NCE","A","20","15","C4034","17:10:00","19:50:00","N","N","Y","N","N","Akkus,Tayfun","P","NH"
"PMC"," 115","NCE","A","30","12","C4030","19:55:00","21:40:00","N","N","Y","N","N","Akkus,Tayfun","P","NH"
"PMC"," 115","NCE","A","30","12","C4030","19:55:00","21:40:00","Y","N","N","N","N","Akkus,Tayfun","P","NH"
"PMC"," 700","NAA","A","36","7","ONLINE","11:40:00","13:25:00","Y","N","N","N","N","Akkus,Tayfun","H","NH"
"PMC"," 700","NAA","A","36","7","A1508","13:30:00","15:15:00","N","N","Y","N","N","Akkus,Tayfun","H","NH"
"CPO"," 520","NAA","A","36","27","A3516","15:20:00","17:05:00","Y","N","N","N","N","Al-Ansari,Kifah","H","NH"
"CPO"," 520","NAA","A","36","27","ONLINE","13:30:00","15:15:00","N","N","N","Y","N","Al-Ansari,Kifah","H","NH"
"CSN"," 405","NBB","A","36","34","ONLINE","11:40:00","13:25:00","N","N","N","Y","N","Al-Ansari,Kifah","H","NH"
"CSN"," 405","NBB","A","36","34","K1270","13:30:00","15:15:00","N","Y","N","N","N","Al-Ansari,Kifah","H","NH"
"CSN"," 505","NAA","A","36","27","C3030","15:20:00","17:05:00","N","Y","N","N","N","Al-Ansari,Kifah","H","NH"
"CSN"," 505","NAA","A","36","27","ONLINE","15:20:00","17:05:00","N","N","Y","N","N","Al-Ansari,Kifah","H","NH"
"UBS"," 204","NAA","A","20","14","A4083","15:20:00","17:05:00","N","N","N","Y","N","Al-Ansari,Teba","FL","NH"
"UBS"," 204","NAA","A","20","14","A4083","17:10:00","18:55:00","N","Y","N","N","N","Al-Ansari,Teba","FL","NH"
"UBS"," 304","NAA","A","30","28","A4083","17:10:00","18:55:00","N","N","N","Y","N","Al-Ansari,Teba","FL","NH"
"UBS"," 304","NAA","A","30","28","A4083","15:20:00","17:05:00","N","Y","N","N","N","Al-Ansari,Teba","FL","NH"
"BDA"," 800","NAA","A","40","38","K3240","14:25:00","17:05:00","N","N","N","Y","N","Al-Shatnawi,Mufleh Saleh Mufleh","P","NH"
"SEA"," 400","NAA","A","30","28","A3516","11:40:00","13:25:00","N","N","N","N","Y","Al-Shatnawi,Mufleh Saleh Mufleh","P","NH"
"SEA"," 400","NAA","A","30","28","B1068","09:50:00","11:35:00","N","Y","N","N","N","Al-Shatnawi,Mufleh Saleh Mufleh","P","NH"
"SED"," 600","NAA","A","25","21","B4024","11:40:00","13:25:00","N","Y","N","N","N","Al-Shatnawi,Mufleh Saleh Mufleh","P","NH"
"SED"," 600","NAA","A","25","21","C2032","11:40:00","13:25:00","N","N","N","Y","N","Al-Shatnawi,Mufleh Saleh Mufleh","P","NH"
"BAN"," 110","NAA","A","35","25","B3038","08:00:00","09:45:00","N","N","N","Y","N","Al-Trad,Omar Hamad","H","NH"
"BAN"," 130","NAA","A","35","25","A4089","10:45:00","12:30:00","N","N","N","Y","N","Al-Trad,Omar Hamad","H","NH"
