"Subject","Catalog","Section","Class Stat","Cap Enrl","Tot Enrl","Facil ID","Meeting Start","Meeting End","Mon","Tues","Wed","Thurs","Fri","Instructor Name","Mode","Campus"
"ICA"," 001","NGA","A","30","19","K3274","13:30:00","16:10:00","N","N","N","Y","N","Abdellatif,Mohamed","P","NH"
"ICA"," 001","NGB","A","30","19","A4519","10:45:00","13:25:00","N","Y","N","N","N","Abdellatif,Mohamed","P","NH"
"PSY"," 100","NBC","A","35","36","ONLINE","10:45:00","13:25:00","N","N","Y","N","N","Abdollahzadeh,Nazanin","OB","NH"
"PSY"," 100","NRA","A","35","28","ONLINE","08:00:00","10:40:00","N","Y","N","N","N","Abdollahzadeh,Nazanin","OB","NH"
"PSY"," 100","NRB","A","35","35","ONLINE","08:00:00","10:40:00","N","N","Y","N","N","Abdollahzadeh,Nazanin","OB","NH"
"ECN"," 501","NRF","A","35","35","ONLINE","13:30:00","16:10:00","N","N","Y","N","N","Abergel,Sigal","OB","NH"
"ECN"," 501","NRJ","A","35","35","ONLINE","16:15:00","18:55:00","Y","N","N","N","N","Abergel,Sigal","OB","NH"
"SOC"," 135","NRD","A","30","31","ONLINE","16:15:00","18:55:00","N","N","N","Y","N","Abergel,Sigal","OB","NH"
"SOC"," 135","NRE","A","30","30","ONLINE","13:30:00","16:10:00","N","N","N","N","Y","Abergel,Sigal","OB","NH"
"SOC"," 135","NRI","A","30","25","B1097","13:30:00","16:10:00","N","Y","N","N","N","Abergel,Sigal","P","NH"
"PRG"," 355","NAAL","A","24","12","A4080","13:30:00","15:15:00","N","N","N","Y","N","Abesdris,Danny","P","NH"
"PRG"," 355","NAB","A","48","29","K3264","09:50:00","11:35:00","N","Y","N","N","N","Abesdris,Danny","P","NH"
"PRG"," 355","NBBL","A","24","17","A4080","09:50:00","11:35:00","N","N","N","Y","N","Abesdris,Danny","P","NH"
"PRG"," 355","NCCL","A","24","17","A4080","11:40:00","13:25:00","N","N","Y","N","N","Abesdris,Danny","P","NH"
"PRG"," 355","NCD","A","48","17","K3264","08:00:00","09:45:00","Y","N","N","N","N","Abesdris,Danny","P","NH"
"PRG"," 550","NAAL","A","24","24","A4080","09:50:00","11:35:00","Y","N","N","N","N","Abesdris,Danny","P","NH"
"PRG"," 550","NAB","A","48","48","A1526","13:30:00","15:15:00","N","Y","N","N","N","Abesdris,Danny","P","NH"
"PRG"," 550","NBBL","A","24","24","A4092","15:20:00","17:05:00","N","N","N","Y","N","Abesdris,Danny","P","NH"
"NAT"," 155","NRA","A","40","40","ONLINE","10:45:00","13:25:00","N","Y","N","N","N","Acharya,Uma","OB","NH"
"NAT"," 155","NRB","A","40","40","ONLINE","13:30:00","16:10:00","N","N","N","Y","N","Acharya,Uma","OB","NH"
"ASO"," 321","NAA","A","50","28","K3110","11:40:00","14:20:00","Y","N","N","N","N","Adam,Humza","FL","NH"
"AVM"," 321","NAA","A","50","33","B1020","12:35:00","15:15:00","N","Y","N","N","N","Adam,Humza","H","NH"
"AVM"," 321","NAA","A","50","33","B1020","12:35:00","15:15:00","N","Y","N","N","N","Adam,Humza","H","NH"
"AVM"," 321","NBB","A","50","49","B1020","14:25:00","17:05:00","N","N","N","Y","N","Adam,Humza","H","NH"
"AVM"," 321","NBB","A","50","49","B1020","14:25:00","17:05:00","N","N","N","Y","N","Adam,Humza","H","NH"
"CMG"," 543","NAA","A","24","20","B3088","15:20:00","17:05:00","N","Y","N","N","N","Adamsz,Robert","FL","NH"
"CMG"," 543","NAA","A","24","20","B3046","15:20:00","17:05:00","N","N","N","Y","N","Adamsz,Robert","FL","NH"
"PME"," 201","NAA","A","20","5","A4083","15:20:00","18:00:00","N","N","Y","N","N","Adamsz,Robert","FL","NH"
"ECE"," 215","NAA","A","38","38","ONLINE","11:40:00","14:20:00","Y","N","N","N","N","Adefioye,Adebola","OB","NH"
"ECE"," 215","NBB","A","38","37","ONLINE","13:30:00","16:10:00","N","N","N","Y","N","Adefioye,Adebola","OB","NH"
"ECE"," 409","NBB","A","35","34","ONLINE","08:00:00","10:40:00","Y","N","N","N","N","Adefioye,Adebola","OB","NH"
"BAN"," 230","NBB","A","34","33","A3518","08:00:00","09:45:00","N","N","N","N","Y","Adesanmi,Adenike","H","NH"
"BAN"," 240","NAA","A","34","27","B1031","12:35:00","14:20:00","Y","N","N","N","N","Adesanmi,Adenike","H","NH"
"BAN"," 240","NBB","A","34","33","B1091","14:25:00","16:10:00","Y","N","N","N","N","Adesanmi,Adenike","H","NH"
"PNC"," 520","N1M","S","50","24","K3264","19:00:00","22:00:00","Y","N","N","N","N","Adomako-Mensah,Kwaku","H","NH"
"CLO"," 835","NBB","A","36","30","A4515","19:00:00","20:45:00","N","Y","N","N","N","Adunuthala,Laxmikantha Rao","H","NH"
"CLO"," 835","NBB","A","36","30","ONLINE","19:55:00","21:40:00","N","N","N","Y","N","Adunuthala,Laxmikantha Rao","H","NH"
"HSI"," 255","NCCL","A","24","14","A4073","13:30:00","15:15:00","N","N","Y","N","N","Ahari,Shaghayegh","P","NH"
"HSI"," 266","NAAL","A","24","20","A4073","09:50:00","11:35:00","N","Y","N","N","N","Ahari,Shaghayegh","P","NH"
"HSI"," 266","NAB","A","48","29","A1526","09:50:00","11:35:00","N","N","Y","N","N","Ahari,Shaghayegh","P","NH"
"HSI"," 266","NBBL","A","24","9","A4073","11:40:00","13:25:00","N","N","N","Y","N","Ahari,Shaghayegh","P","NH"
"CDA"," 543","NAA","A","14","10","A4080","16:15:00","18:00:00","N","N","Y","N","N","Ahossivo,Issa Kader","FL","NH"
"CDA"," 543","NAA","A","14","10","A4080","17:10:00","18:55:00","Y","N","N","N","N","Ahossivo,Issa Kader","FL","NH"
"BCD"," 706","NAA","A","35","16","B3094","08:00:00","10:40:00","N","N","Y","N","N","Ajodhia,Amanda Devi","H","NH"
"ECE"," 414","NAA","A","35","33","B3092","11:40:00","14:20:00","Y","N","N","N","N","Ajodhia,Amanda Devi","P","NH"
"ECE"," 414","NCC","A","35","21","B1091","08:00:00","10:40:00","Y","N","N","N","N","Ajodhia,Amanda Devi","P","NH"
"CLO"," 745","N1X","A","5","1","D3018","17:10:00","18:55:00","Y","N","N","N","N","Akbari,Mehdi","P","NH"
"CLO"," 745","N1X","A","5","1","A1508","17:10:00","18:55:00","N","N","N","Y","N","Akbari,Mehdi","P","NH"
"CLO"," 745","NCE","A","31","31","D3018","17:10:00","18:55:00","Y","N","N","N","N","Akbari,Mehdi","P","NH"
"CLO"," 745","NCE","A","31","31","A1508","17:10:00","18:55:00","N","N","N","Y","N","Akbari,Mehdi","P","NH"
"PMC"," 115","N1X","A","5","3","D3018","19:55:00","21:40:00","Y","N","Y","N","N","Akkus,Tayfun","P","NH"
"PMC"," 115","NCE","A","35","8","D3018","19:55:00","21:40:00","Y","N","Y","N","N","Akkus,Tayfun","P","NH"
"PMC"," 115","NIA","A","36","21","C3032","10:45:00","12:30:00","N","N","N","N","Y","Akkus,Tayfun","P","NH"
"PMC"," 115","NIA","A","36","21","A3512","17:10:00","18:55:00","Y","N","N","N","N","Akkus,Tayfun","P","NH"
"PMC"," 700","NAA","A","36","11","ONLINE","10:45:00","12:30:00","N","N","Y","N","N","Akkus,Tayfun","H","NH"
"PMC"," 700","NAA","A","36","11","A1509A","13:30:00","15:15:00","Y","N","N","N","N","Akkus,Tayfun","H","NH"
"CSN"," 205","NCC","A","36","30","ONLINE","16:15:00","18:00:00","N","Y","N","N","N","Al Quraishi,Rami","H","NH"
"CSN"," 205","NCC","A","36","30","K1001","15:20:00","18:55:00","N","N","N","N","Y","Al Quraishi,Rami","H","NH"
"DCN"," 230","NAA","A","36","6","B1025","10:45:00","11:35:00","Y","N","N","N","N","Al Quraishi,Rami","FL","NH"
"DCN"," 230","NAAL","A","36","6","K1001","08:00:00","10:40:00","N","N","N","N","Y","Al Quraishi,Rami","P","NH"
"DCN"," 230","NBB","A","36","33","B4059","08:55:00","09:45:00","Y","N","N","N","N","Al-Ani,Ahmed","FL","NH"
"DCN"," 230","NBBL","A","36","33","K1001","09:50:00","12:30:00","N","Y","N","N","N","Al-Ani,Ahmed","P","NH"
"CSN"," 405","NAA","A","36","28","ONLINE","09:50:00","11:35:00","Y","N","N","N","N","Al-Ansari,Kifah","H","NH"
"CSN"," 405","NAA","A","36","28","K1270","11:40:00","13:25:00","N","Y","N","N","N","Al-Ansari,Kifah","H","NH"
"CSN"," 405","NBB","A","36","35","ONLINE","11:40:00","13:25:00","N","N","N","Y","N","Al-Ansari,Kifah","H","NH"
"CSN"," 405","NBB","A","36","35","K1270","13:30:00","15:15:00","N","Y","N","N","N","Al-Ansari,Kifah","H","NH"
"CSN"," 505","NAA","A","36","18","ONLINE","13:30:00","15:15:00","Y","N","N","N","N","Al-Ansari,Kifah","H","NH"
"CSN"," 505","NAA","A","36","18","C3034","08:00:00","09:45:00","N","N","N","Y","N","Al-Ansari,Kifah","H","NH"
"SRC"," 343","NAA","A","20","13","B4021","15:20:00","17:05:00","Y","N","N","N","Y","Al-Ansari,Teba","FL","NH"
"CSN"," 405","NEE","A","35","24","ONLINE","09:50:00","11:35:00","N","Y","N","N","N","Al-Hayali,Ahmed","H","NH"
"CSN"," 405","NEE","A","35","24","K1270","08:55:00","10:40:00","N","N","N","N","Y","Al-Hayali,Ahmed","H","NH"
"DSM"," 760","NBB","A","36","29","A1509A","17:10:00","18:55:00","N","N","Y","N","N","Al-Obaidi,Samer","P","NH"
"DSM"," 760","NBB","A","36","29","A1509","18:05:00","19:50:00","Y","N","N","N","N","Al-Obaidi,Samer","P","NH"
"SED"," 200","NAA","A","25","16","K3170","14:25:00","17:05:00","N","Y","N","N","N","Al-Shatnawi,Mufleh Saleh Mufleh","P","NH"
"SED"," 800","NAA","A","20","18","K3170","10:45:00","14:20:00","N","Y","N","N","N","Al-Shatnawi,Mufleh Saleh Mufleh","P","NH"
"SED"," 800","NAA","A","20","18","K3170","08:55:00","10:40:00","N","N","N","N","Y","Al-Shatnawi,Mufleh Saleh Mufleh","P","NH"
