"Subject","Catalog","Section","Class Stat","Cap Enrl","Tot Enrl","Facil ID","Meeting Start","Meeting End","Mon","Tues","Wed","Thurs","Fri","Instructor Name","Mode","Campus"
"ICA"," 001","NGB","A","35","28","A1509A","12:35:00","15:15:00","N","N","Y","N","N","Abdellatif,Mohamed","P","NH"
"COM"," 470","NRA","A","30","22","D3055","13:30:00","16:10:00","N","N","N","N","Y","Abdollahzadeh,Nazanin","P","NH"
"COM"," 470","NRB","A","30","30","D4031","13:30:00","16:10:00","Y","N","N","N","N","Abdollahzadeh,Nazanin","P","NH"
"PSY"," 100","NBA","A","35","35","B1029","10:45:00","13:25:00","Y","N","N","N","N","Abdollahzadeh,Nazanin","P","NH"
"ECN"," 502","NRC","A","30","31","D4031","10:45:00","13:25:00","N","N","Y","N","N","Abergel,Sigal","P","NH"
"PRG"," 355","NAAL","A","24","18","A4092","10:45:00","12:30:00","Y","N","N","N","N","Abesdris,Danny","P","NH"
"PRG"," 355","NAB","A","48","41","D4050","11:40:00","13:25:00","N","N","N","Y","N","Abesdris,Danny","P","NH"
"PRG"," 355","NBBL","A","24","23","A4082","12:35:00","14:20:00","N","Y","N","N","N","Abesdris,Danny","P","NH"
"PRG"," 355","NCCL","A","24","18","A4083","10:45:00","12:30:00","N","Y","N","N","N","Abesdris,Danny","P","NH"
"PRG"," 355","NCD","A","48","18","K3260","09:50:00","11:35:00","N","N","Y","N","N","Abesdris,Danny","P","NH"
"PRG"," 550","NAAL","A","24","24","A4092","13:30:00","15:15:00","N","N","N","Y","N","Abesdris,Danny","P","NH"
"PRG"," 550","NAB","A","48","48","K2100C","12:35:00","14:20:00","Y","N","N","N","N","Abesdris,Danny","P","NH"
"PRG"," 550","NBBL","A","24","24","A4082","14:25:00","16:10:00","N","Y","N","N","N","Abesdris,Danny","P","NH"
"SOC"," 135","NRC","A","40","40","ONLINE","10:45:00","13:25:00","N","N","N","N","Y","Acharya,Uma","OB","NH"
"PME"," 201","NAA","A","15","12","A3519","15:20:00","18:00:00","N","N","N","Y","N","Adamsz,Robert","FL","NH"
"PME"," 240","NAA","A","8","5","K2213","16:15:00","18:55:00","N","N","Y","N","N","Adamsz,Robert","FL","NH"
"BAN"," 240","NAA","A","30","29","D4050","08:55:00","10:40:00","N","N","Y","N","N","Adesanmi,Adenike","H","NH"
"FNT"," 101","N1X","A","3","1","B3089","12:35:00","15:15:00","N","N","Y","N","N","Adesanmi,Adenike","FL","NH"
"FNT"," 101","NII","A","40","42","B3089","12:35:00","15:15:00","N","N","Y","N","N","Adesanmi,Adenike","FL","NH"
